,auc_prob,auc_pred,fbeta,f1,plr,nlr,perm_score,pval_score,train_score,fold,gen,model,subset
4,0.50262,0.49835,0.90672,0.90672,0.97041,1.00372,0.49688,0.34653,0.50066,0,f,dtc,top5
5,0.49818,0.4876,0.90122,0.90122,0.79537,1.02822,0.49967,0.30693,0.50902,0,f,dtc,top5
6,0.49561,0.5084,0.45527,0.45527,1.02419,0.94511,0.4993,0.58416,0.49368,0,f,dtc,top5
7,0.49561,0.5084,0.45527,0.45527,1.02419,0.94511,0.49702,0.26733,0.50766,0,f,dtc,top5
8,0.49166,0.4876,0.90122,0.90122,0.79537,1.02822,0.49847,0.92079,0.47404,0,f,dtc,top5
9,0.50262,0.49835,0.90672,0.90672,0.97041,1.00372,0.4976,0.49505,0.49529,0,f,dtc,top5
0,0.53071,0.52993,0.31268,0.31268,1.07397,0.68631,0.49938,0.0396,0.55538,1,f,dtc,top5
1,0.50708,0.51541,0.33736,0.33736,1.03897,0.85285,0.49779,0.09901,0.52869,1,f,dtc,top5
2,0.56022,0.54986,0.60859,0.60859,1.1836,0.78173,0.49976,0.0297,0.54685,1,f,dtc,top5
3,0.54364,0.53437,0.76342,0.76342,1.19759,0.89458,0.50128,0.0297,0.54847,1,f,dtc,top5
4,0.54294,0.51957,0.58492,0.58492,1.06889,0.90941,0.49808,0.26733,0.51337,1,f,dtc,top5
5,0.52003,0.51325,0.50111,0.50111,1.04063,0.92385,0.49487,0.13861,0.51956,1,f,dtc,top5
6,0.51838,0.50127,0.53748,0.53748,1.00413,0.99335,0.49838,0.56436,0.491,1,f,dtc,top5
7,0.51591,0.51658,0.73743,0.73743,1.08648,0.9462,0.49443,0.32673,0.50368,1,f,dtc,top5
8,0.53659,0.53439,0.62308,0.62308,1.13067,0.85474,0.49503,0.22772,0.51096,1,f,dtc,top5
9,0.55184,0.54911,0.56258,0.56258,1.16584,0.75911,0.4978,0.25743,0.51294,1,f,dtc,top5
0,0.48593,0.4993,0.88216,0.88216,0.99098,1.00167,0.49866,0.30693,0.50898,2,f,dtc,top5
1,0.53694,0.55134,0.81834,0.81834,1.38546,0.86004,0.49979,0.13861,0.52003,2,f,dtc,top5
2,0.52393,0.54355,0.86645,0.86645,1.46647,0.89291,0.49933,0.76238,0.48614,2,f,dtc,top5
3,0.48627,0.48993,0.77466,0.77466,0.93892,1.03004,0.49962,0.89109,0.48124,2,f,dtc,top5
4,0.50994,0.50672,0.78182,0.78182,1.04199,0.98025,0.50157,0.9901,0.45787,2,f,dtc,top5
5,0.47083,0.50412,0.87437,0.87437,1.04832,0.99008,0.49757,0.10891,0.52067,2,f,dtc,top5
6,0.49078,0.48864,0.55923,0.55923,0.96177,1.05597,0.50118,0.20792,0.51566,2,f,dtc,top5
7,0.51005,0.50301,0.70777,0.70777,1.01426,0.98956,0.50051,0.0396,0.53183,2,f,dtc,top5
8,0.54084,0.50903,0.88675,0.88675,1.12147,0.9788,0.50238,0.81188,0.48503,2,f,dtc,top5
9,0.51061,0.51767,0.63502,0.63502,1.06898,0.92754,0.50185,0.44554,0.50397,2,f,dtc,top5
0,0.50437,0.49185,0.58802,0.58802,0.9711,1.03737,0.50225,0.72277,0.49084,3,f,dtc,top5
1,0.49699,0.50444,0.04096,0.04096,1.00906,0.57287,0.50025,0.77228,0.48467,3,f,dtc,top5
2,0.47502,0.47723,0.67577,0.67577,0.90145,1.0847,0.49998,0.61386,0.49414,3,f,dtc,top5
3,0.52925,0.521,0.86707,0.86707,1.228,0.94852,0.49996,0.22772,0.51535,3,f,dtc,top5
4,0.51127,0.51803,0.90346,0.90346,1.30378,0.95908,0.49824,0.18812,0.5188,3,f,dtc,top5
5,0.53401,0.51226,0.90976,0.90976,1.23049,0.97255,0.49889,0.47525,0.49929,3,f,dtc,top5
